G10	G7
1.0754567	0.6680349
1.0823033	0.6660463
0.9750427	0.9383633
1.0183273	0.9470546
0.9911238	0.9644094
1.1131607	0.9363044
0.9527711	1.0738960
0.9182150	0.9233485
0.9026285	1.0440719
0.8742363	0.9819947
0.9402442	0.9595437
0.9413920	0.9612928
1.0116878	1.2016939
0.9330975	0.9579394
0.9393853	0.0000000
1.0120739	0.0829508
1.0350209	0.2226338
0.8942364	0.2769367
0.9093430	0.4034211
1.0597492	0.5330002
1.0841767	0.5348481
1.0307733	0.6852025
1.1150003	0.7836820
0.9545596	0.8136366
0.9353704	1.1506027
1.0893871	1.1406435
0.9943404	1.0711622
1.0765364	1.0482038
1.0138872	0.9625207
0.8448208	0.8842501
1.0781360	1.1155636
0.9303241	1.1268356
0.9527414	0.9810379
0.9827236	1.0496294
0.9137828	1.1147176
1.0781043	0.0000000
1.0228056	0.1098510
0.9880711	0.1638346
0.9726485	0.3113266
1.0257900	0.5016123
1.0847008	0.5196657
0.8469525	0.5609576
0.9236193	0.6150156
1.1112227	0.7176124
0.8667269	0.9805341
1.1264506	0.8331405
0.9909049	0.8647057
1.0916923	1.0762321
0.9533237	1.0987931
0.8792644	1.1561712
0.9361149	1.0931312
0.9301431	0.9336595
1.0028946	0.9850154
0.8831358	1.0674175
0.9460099	1.0654277
0.9752985	1.1277079
0.9957151	0.0000000
1.0579671	0.1702356
0.9579086	0.2105244
0.8871362	0.2633671
1.0393390	0.3496735
1.1095384	0.4940200
1.1732186	0.5176314
0.8801557	0.8568679
1.0967046	0.7635179
0.9470445	0.8932577
0.8867276	0.8463625
0.8931963	1.0036618
0.9445195	0.9903776
0.9420119	0.9409742
1.0209950	0.9219080
0.9663874	0.9106506
1.1289511	0.8718752
0.8269386	0.8518453
0.9793089	0.8597387
1.0084840	0.9795856
1.0274819	1.0054478
0.9378176	0.0000000
0.8740948	0.0960672
0.9997670	0.1948131
1.0550704	0.3003269
1.1494730	0.4164424
1.0431381	0.5483207
0.9380494	0.5581200
1.0221512	0.5734670
1.0978677	0.7372094
0.9759816	0.7836746
1.2013887	0.9623810
1.0242401	0.9354851
1.0162789	0.9712299
1.0907880	0.9737019
1.1020470	0.9726734
0.9030366	0.9769413
0.9311258	0.9602216
1.0419959	1.0821410
1.0418260	0.9018928
1.1720597	1.1833171
1.0470913	1.1132356
0.9515125	0.0000000
1.0968466	0.0931281
0.9465607	0.2586704
1.0263128	0.3741539
0.9279071	0.3662963
1.1674457	0.5112772
1.2128513	0.5741529
1.1033386	0.7591063
1.1127990	0.7272215
0.9838591	0.9949844
1.0794612	0.9747275
0.9418142	0.9863746
0.8824755	1.1306221
0.9626145	0.9816728
0.9849960	0.8719560
1.1688340	1.0816478
1.1788323	0.9058141
0.9334511	1.2242952
0.9519775	0.9525224
0.9971039	1.0594668
1.0613733	1.0020901
0.9597153	0.0000000
1.0892015	0.0823871
1.0483880	0.2214560
1.1775730	0.2813622
0.9270660	0.3348120
1.0073527	0.5049021
0.9339167	0.7007861
1.0067482	0.5697793
0.9214288	0.7487535
1.0971471	1.0091669
1.0099909	0.9971693
0.9975989	0.9486143
1.0227745	0.9347052
0.8950974	1.1125682
0.9684841	1.0315540
1.2286801	0.9350164
1.0655553	0.8409054
0.8614765	1.0245708
0.8862935	0.8982430
0.9759376	1.1301225
0.8544406	0.9820186
0.9064883	0.0000000
0.8661655	0.1043350
1.0132433	0.2001256
1.1233571	0.3251906
1.0775452	0.3295561
1.0329386	0.4869069
0.9272618	0.6321066
0.9495991	0.6167852
1.0276658	0.7329754
1.0992809	0.9126332
0.9031218	1.1141657
0.9686363	1.1028374
1.0906914	1.0034489
0.9204405	1.0632687
1.0859146	1.0166331
0.8701833	0.8747343
0.9756160	1.0287860
0.9759631	1.1347157
0.9264860	0.8932063
0.9023050	1.0085256
1.0313791	1.1614195
1.0920806	0.0000000
0.8229439	0.0959799
1.0900060	0.2037024
1.0329912	0.2871288
1.0580980	0.4325743
0.9926981	0.5470888
1.0530715	0.6024455
1.1226650	0.7942160
0.9939922	0.7341972
1.0849960	0.9652241
0.9414516	1.0316575
0.9506800	1.0755798
0.9894100	1.2251945
0.9277990	1.1037633
1.1327140	1.0163996
1.1788023	1.0070937
1.1356356	1.0102583
0.9676510	1.0174318
0.9558930	0.9715923
1.0284620	1.1881156
1.0144033	1.0660072
0.0000000	0.0000000
0.0000000	0.1296229
0.0000000	0.1538412
0.0000000	0.3272189
0.0000000	0.3593837
0.0000000	0.3918182
0.0000000	0.5842303
0.0000000	0.6791556
0.0000000	0.9489155
0.0000000	0.9187246
0.0000000	0.9749074
0.0000000	0.9320247
0.0000000	0.8653277
0.0000000	1.0307121
0.0000000	0.8463862
0.0000000	1.1055985
0.0000000	0.9825254
0.0000000	1.0107316
0.0000000	0.9851174
0.0000000	0.9169485
0.0000000	1.0999533
0.1817845	0.0000000
0.0698065	0.0898812
0.1061135	0.1903662
0.1057299	0.3012883
0.1107183	0.4574726
0.0928929	0.5590440
0.1279903	0.6258328
0.1331430	0.6673590
0.0580548	0.7901021
0.1633980	1.0206666
0.0971716	1.1099943
0.1445820	0.8826567
0.1382635	0.8294007
0.0685475	1.0971359
0.1021083	0.9512621
0.1210441	1.0004540
0.0965599	0.8983305
0.1159184	1.0173256
0.0484615	0.9725652
0.1265874	0.8276237
0.1256631	0.8777379
0.1465950	0.0000000
0.2552825	0.1007290
0.2296560	0.1712054
0.1832852	0.3385622
0.1897998	0.3467721
0.1678505	0.5623684
0.2889722	0.5563469
0.2245763	0.6999882
0.2938691	0.8616317
0.1601982	0.9137874
0.2102659	0.9727761
0.2344543	0.9134682
0.2294242	1.0306440
0.1937405	0.9253671
0.2433369	0.9836059
0.1864862	1.1241857
0.2725209	1.1437864
0.1966452	0.9213524
0.1429828	0.9637170
0.2293441	1.0556584
0.2422232	0.9460893
0.3000158	0.0000000
0.3059634	0.1205354
0.4228340	0.1941278
0.2111280	0.2811309
0.2185079	0.3798984
0.2698697	0.4499073
0.2623403	0.5217767
0.3021168	0.6802641
0.2925396	0.8493130
0.2571615	0.9659217
0.3070351	1.1083036
0.3228917	1.1111014
0.3314258	1.1504181
0.3779015	0.7873823
0.3215085	1.0898687
0.3059555	0.8956180
0.2885652	0.9952588
0.3193483	1.0267711
0.2207944	0.9425892
0.2510418	0.9994141
0.3296988	0.9872805
0.4646316	0.0000000
0.5181628	0.0860366
0.3446040	0.1883742
0.3927857	0.2857281
0.3709187	0.4018557
0.3737988	0.5429339
0.3716523	0.6097020
0.4313473	0.6235515
0.4405878	0.8686455
0.3995640	0.9434336
0.4928621	0.7600311
0.3132146	0.8235692
0.4631682	0.8707282
0.4126566	0.8326346
0.3907413	1.0878523
0.3833810	1.0227519
0.5242049	1.0400004
0.4478566	0.9469581
0.3950196	0.9368548
0.3367551	0.9924886
0.4600914	0.9593948
0.5722839	0.0000000
0.4320142	0.1288607
0.6627504	0.1874444
0.4411977	0.3628909
0.5348108	0.4309127
0.3819887	0.4320048
0.4902070	0.4699816
0.4639693	0.7218159
0.5361040	0.8596128
0.5820801	0.8570255
0.4250436	0.8324425
0.4816295	0.9709534
0.5587677	1.0143071
0.5297917	0.9323072
0.4566907	0.9270294
0.4448059	0.9229089
0.5639061	1.0796534
0.4659090	1.1166529
0.4664047	1.1959299
0.4328015	1.0165946
0.4927163	1.0988758
0.5737912	0.0000000
0.6960939	0.0822847
0.5797268	0.1391875
0.6440771	0.2621814
0.5741420	0.4123403
0.5301383	0.4831967
0.5691660	0.6035745
0.6342297	0.6442334
0.6527690	0.8299918
0.4723494	0.7480598
0.5506665	1.1171616
0.7008968	1.1683042
0.6576081	1.1119248
0.6182561	1.0880517
0.5922822	0.8772423
0.5290816	0.9019546
0.5095888	1.0954322
0.5846069	1.0596559
0.5740080	0.9628448
0.7299090	1.0839509
0.4532137	0.8674260
0.7635459	0.0000000
0.6436653	0.0773777
0.6892453	0.1955776
0.8064752	0.3186931
0.6997977	0.4235200
0.7320976	0.4230492
0.7181439	0.6397589
0.6025807	0.7395018
0.7365470	0.8594251
0.7149107	0.9603560
0.7735545	1.0223898
0.6906530	1.0828063
0.5217228	1.0434624
0.6657384	1.0139688
0.8106526	1.1498602
0.6284669	1.0235271
0.7805245	1.0293061
0.6794009	0.8389887
0.6525602	1.2099554
0.6439105	1.0124552
0.6524566	0.9070368
0.7710312	0.0000000
0.7740980	0.1125657
0.7744660	0.1619134
0.8682242	0.2129440
0.8598107	0.3233354
0.8234668	0.4570494
0.9312520	0.6007039
0.7957027	0.7356348
0.7633165	0.7174119
0.7316812	1.0081884
0.7428599	0.8511650
0.7256247	0.9738835
0.8145949	1.1467174
0.7466976	1.0369476
0.8155075	1.0173368
0.8163844	1.1063556
0.8827259	1.0037345
0.7888868	1.0614185
0.6825945	1.0767391
0.9300531	1.0475717
0.7433471	0.8499838
0.9005304	0.0000000
0.9334471	0.2242114
0.7567239	0.1576329
0.8168121	0.2931142
0.8561295	0.3091821
0.9522568	0.5300964
0.9426211	0.7057698
0.9147571	0.6488706
0.8670691	0.8250263
0.9073368	0.8898807
0.8539476	0.8832816
0.9007369	0.9642438
0.7725838	0.9199191
0.8766999	1.3294531
0.8129301	0.8857607
0.8105947	0.8793063
0.8518587	0.9426113
1.0067683	0.9114981
0.9162058	0.8856047
0.7620875	0.9858609
0.9406455	1.0359104
1.0248794	0.0000000
0.9073834	0.1061550
1.0188176	0.2640160
1.1426259	0.2841601
0.9505413	0.5514998
1.1963891	0.4553979
1.0713849	0.5435645
0.8961259	0.6506014
1.0415580	0.7615636
0.8693344	0.7934696
0.9871992	0.9525066
1.1958611	0.9398354
0.9537824	1.0586569
0.8573614	0.9751612
1.0023039	1.0802245
0.9622846	0.9114918
1.2101925	1.0672153
0.9880715	1.0060962
1.0091756	1.1155557
1.0158558	0.7971250
1.0191592	1.0186025
0.9803059	0.0000000
0.9559817	0.1133361
0.9403173	0.2301397
1.1863996	0.2604665
0.8665834	0.4858117
1.1881409	0.4417695
1.1022236	0.6950173
0.9592230	0.7456953
0.8929002	0.7977218
0.9429970	0.9084332
1.0458064	1.0480637
0.9480303	1.0148035
1.1785866	0.9958130
0.9981236	0.9098788
0.9518906	1.1131051
0.9797918	0.9208793
1.0459346	0.9124312
0.9400352	0.9478059
1.0672349	1.1480009
0.8908543	0.8899301
1.1029374	0.9874725
0.8303211	0.0000000
1.1845817	0.0934973
0.9865516	0.2386587
0.9168578	0.2483287
0.9286677	0.4926094
0.9524257	0.5322114
0.9651151	0.5706600
0.9535833	0.5920350
1.0016744	0.8864249
1.0749869	0.8717034
0.9119296	1.2061047
1.1783163	1.0536523
0.9802781	0.9546502
0.8060411	1.0006598
1.0535228	0.9982485
1.0553998	1.0839526
1.0504304	0.9460474
1.0122997	0.8912902
0.8372033	0.9514033
0.9492950	0.9062854
0.8031118	1.0298085
0.9327694	0.0000000
1.0526111	0.0982432
0.9731320	0.1519038
0.8791751	0.2746346
0.9639325	0.3617220
1.0952666	0.4821989
1.0594525	0.6796309
0.9991582	0.7427183
0.9503899	0.9390498
0.9902215	0.8120167
1.0388793	1.0825719
1.0016617	1.2034348
1.0455469	1.2022921
0.9653234	0.9173961
0.9281825	1.0109566
1.1628984	1.1538587
0.8964902	1.0733854
1.0788240	0.9253790
0.9822554	0.9110139
1.1500200	0.9329834
0.9882867	1.0573971
0.9115312	0.0000000
0.9211308	0.1058154
0.9989725	0.2023096
0.9771462	0.2770206
0.9966634	0.5080435
1.0335383	0.6147734
0.9389624	0.6581375
1.0794128	0.6743221
0.8766013	0.8678943
1.0512653	0.8216059
0.9006842	0.9157581
1.0987807	1.1303120
1.0202535	1.0027570
0.9090851	1.1394544
1.1124878	1.0789144
1.0240481	1.0407981
1.0227361	0.9664074
0.9098891	1.1065234
0.9689520	0.9631384
0.9808003	0.9101291
1.0184578	0.8894976
1.1251800	0.0000000
1.0582562	0.1031344
0.8109340	0.1880220
1.1016301	0.4015433
1.0365163	0.4014302
1.0271507	0.5936608
1.0370502	0.6196409
1.1028599	0.6450129
0.8970561	0.6922708
0.9795230	0.9451640
0.9442523	0.9143594
0.9543579	0.9975985
1.0579024	0.9065611
1.0588983	1.0815666
0.9974757	1.1291201
0.9984659	1.0312185
1.0146524	0.9785659
1.0649695	1.0194478
1.1664127	0.9163500
1.0343333	1.0034184
0.9833498	0.9126870
1.0333126	0.0000000
0.9571966	0.0959298
1.1544838	0.1722494
1.0104316	0.3288156
1.0143304	0.2857890
1.0896521	0.5655692
1.2546033	0.5904233
0.9349461	0.8197926
0.9489699	0.7436776
0.9325149	0.9107938
0.9796719	0.9887559
1.0816483	1.0448376
0.8429803	1.0116191
1.1518214	1.0433699
1.0494323	0.9625560
0.9768897	1.0279765
0.9065774	1.0742301
1.1803769	1.0641597
0.9876578	1.0553435
0.9012445	0.9640430
0.9197347	0.9100652
0.9550202	0.0000000
0.8390073	0.0857907
0.9341841	0.2271047
0.9642043	0.2846285
1.0053681	0.4205612
1.1513610	0.5730967
1.1073928	0.5474102
0.8767863	0.6848410
1.2059065	0.9489467
1.0127202	0.9107066
1.0845729	0.9452320
0.8051630	0.8798308
1.1170480	0.9364001
0.9634595	1.0945602
0.9355472	0.8710813
1.0200969	0.8381675
0.9536817	1.0441695
1.0461219	1.0536049
0.8341727	1.0405240
1.0765087	1.1414381
1.0579050	1.0261648
1.0018069	0.0000000
0.9052178	0.1386079
0.9125842	0.1908162
1.1280014	0.3504172
0.9354810	0.4015574
0.9178016	0.4345457
0.9005802	0.5309459
1.1153355	0.6556601
0.9940776	0.7047924
0.9077792	1.0444457
1.0774915	1.0326692
1.0433050	0.9871264
0.9688951	0.9481037
1.1432953	1.1956185
0.9717717	0.9344768
0.9921341	1.0024489
0.9227400	0.8924017
1.0842998	0.9710148
1.0263670	0.9373590
1.0689550	0.8357004
0.8943201	1.1896274
0.8861110	0.0000000
0.9017046	0.0774435
0.9597475	0.2523774
1.1284138	0.3311018
0.9208581	0.4409203
1.0111291	0.5656724
0.8090409	0.5754188
0.9401369	0.6844587
0.9617561	0.7340889
0.9354892	0.8795779
1.0775690	0.9568910
0.9680532	0.8377774
1.0773215	1.0926473
1.1009119	1.0553061
0.8957027	0.9975006
1.0292410	1.1171157
1.0044132	1.0027473
1.0688983	1.0222010
1.1452799	1.0207231
0.8950232	0.9888512
1.1077128	1.0594254
0.9522177	0.0000000
0.8696293	0.0586198
1.0180357	0.1906978
1.0039672	0.3560569
1.0036458	0.5516476
0.9568268	0.3929523
0.9933983	0.4876740
1.0888234	0.7083590
0.9825027	0.8442005
1.0550946	0.9296949
0.9645728	0.8341320
0.9512820	1.0807425
1.0640091	0.9608653
0.9347832	1.0829693
1.0264330	0.9693366
0.9144105	0.8972287
1.0174780	0.9410512
1.1418914	0.9059993
0.9191219	0.8775752
1.0113353	1.0664246
1.0610693	0.9721358
0.0000000	0.0000000
0.0000000	0.1089431
0.0000000	0.1960639
0.0000000	0.2823116
0.0000000	0.3249556
0.0000000	0.4682628
0.0000000	0.5879615
0.0000000	0.7269141
0.0000000	0.8039457
0.0000000	0.8206458
0.0000000	0.9106064
0.0000000	0.8329259
0.0000000	0.9450793
0.0000000	0.9084509
0.0000000	0.9475110
0.0000000	1.0995208
0.0000000	0.7682155
0.0000000	1.0191603
0.0000000	0.9951281
0.0000000	1.0377314
0.0000000	0.9370941
0.1077495	0.0000000
0.1319936	0.1104295
0.1331207	0.2730265
0.0906911	0.3352199
0.1104155	0.3910099
0.1108207	0.5163495
0.0816236	0.5767406
0.1035632	0.7488635
0.0563108	0.7623692
0.0745487	0.8053847
0.1024753	0.9754588
0.1312461	0.9490907
0.1763107	1.0092224
0.1068520	0.9889430
0.1388938	1.0192926
0.0708488	1.1282476
0.1165236	0.9369700
0.0773446	0.9846667
0.1269088	1.1713922
0.0984196	1.0160598
0.1035913	0.9298995
0.2471372	0.0000000
0.2264006	0.0769062
0.2219511	0.2035976
0.2092345	0.3970762
0.2062229	0.3571471
0.1731966	0.4451578
0.1790526	0.5035584
0.1997348	0.6861906
0.2136570	0.9058825
0.1577376	0.8438669
0.2068877	1.2181949
0.2939117	0.9263891
0.1903494	0.9179225
0.1852200	0.9117841
0.2132952	1.0177495
0.1457880	0.8186223
0.2204630	1.1034168
0.1838781	0.8821287
0.1925841	1.0764860
0.2506760	1.0369426
0.2197719	1.1306225
0.3230601	0.0000000
0.2904447	0.1124770
0.4343143	0.1841747
0.3123783	0.2770364
0.2584384	0.3922165
0.3501045	0.4432363
0.2505844	0.6458195
0.3233193	0.6901653
0.3097346	0.7013357
0.2166234	0.8309647
0.2761144	0.9047516
0.2830961	1.1488396
0.2543422	0.9708190
0.2869031	1.1559419
0.3410400	0.9113642
0.2947160	1.0057556
0.3305133	1.0846332
0.2752048	1.0819667
0.3768894	0.9921727
0.3037908	0.9580889
0.2219116	1.1112684
0.4789282	0.0000000
0.4092359	0.0877924
0.3782053	0.2606597
0.3622005	0.2539835
0.4763982	0.4066888
0.4046035	0.4995174
0.3920704	0.5776990
0.4420772	0.7206323
0.3650400	0.8165588
0.3151927	0.8937387
0.4726617	1.0804863
0.4705382	0.9083438
0.3488952	1.0209643
0.4236172	1.1328565
0.4337742	1.0312612
0.4682087	1.0067795
0.3237962	0.8832963
0.3655080	0.9378484
0.4443993	0.9894426
0.4345698	0.8485410
0.3941315	0.9739150
0.5302999	0.0000000
0.5082908	0.0909982
0.4577413	0.1601667
0.5441380	0.3204243
0.4327196	0.4647018
0.5375041	0.4857124
0.4369260	0.6258049
0.4368698	0.7149629
0.4978857	0.7087319
0.5893891	0.9592783
0.4041746	0.9878924
0.4873871	1.1230924
0.5207231	0.9889840
0.4554614	1.1563213
0.5157730	1.0013743
0.4078253	0.9412972
0.6901931	0.9016228
0.4230973	1.0919171
0.5557470	0.8709506
0.5649095	1.0278989
0.4500402	0.9762706
0.5783308	0.0000000
0.7081170	0.0862163
0.6068959	0.2041751
0.5773415	0.3891913
0.6479216	0.4166657
0.4818350	0.5210091
0.5421233	0.5114479
0.5527765	0.6446475
0.5757439	0.8224374
0.7020355	0.7952251
0.6668710	1.2259669
0.6480672	0.9398482
0.5826878	1.0007774
0.6007318	0.9202165
0.5999021	1.0881982
0.6633197	1.0388643
0.6966698	0.8341270
0.6118008	1.0523995
0.6314865	0.9259834
0.6293409	0.9202746
0.5396805	1.0052539
0.6819559	0.0000000
0.8162656	0.0943057
0.6363101	0.2154013
0.6323328	0.2734891
0.7278427	0.3853486
0.5599431	0.5202507
0.8623487	0.5633571
0.7532837	0.8726160
0.7352496	0.7342887
0.7145090	0.8219405
0.6691476	1.0382850
0.7294590	1.0444861
0.6627038	1.0403756
0.6685670	0.9281975
0.7128377	0.9843502
0.6673158	1.0068158
0.6809154	0.9429225
0.7377893	0.8670715
0.8681645	0.9275297
0.7250331	0.7554859
0.8018511	0.9821428
0.7676864	0.0000000
0.9996637	0.0758469
0.7943921	0.1645782
0.6858679	0.2460444
0.7689701	0.4045429
0.7881945	0.4692137
0.7619707	0.5983845
0.7010234	0.8220335
0.8587974	0.7569424
0.8781377	1.0231128
0.8183603	0.8857145
0.7512955	0.8666852
0.7806158	1.0095927
0.6519252	1.0499902
0.8428010	1.0860952
0.7581169	0.9901030
0.8085957	1.0513552
0.9702953	1.0361673
0.8466961	1.0239586
0.8450910	1.1613975
0.7115066	1.0395573
0.9421967	0.0000000
0.7207634	0.0782397
0.7944239	0.1791098
0.8124100	0.3715140
0.9037748	0.3911542
0.8697463	0.5187175
1.0952413	0.5228379
0.8047063	0.5167704
0.8352874	0.8002002
1.0512046	0.7853793
0.9224436	0.9931727
0.9585291	1.0747936
0.9166345	1.0000187
0.8669339	1.0406807
0.9333924	0.9790985
0.9131693	0.9416539
0.8876303	0.9159511
0.8778529	0.9299174
0.9056679	1.0516203
0.8828085	1.0762174
0.9153666	1.1079531
0.8942727	0.0000000
1.1450169	0.0832497
0.9071890	0.1592868
0.9964814	0.2630854
0.9154631	0.3096080
0.9157666	0.4378826
0.9731166	0.6270958
0.8601274	0.6824435
1.0098979	0.8726837
1.0496416	0.8896637
0.9421414	1.0392919
1.0177851	0.9652571
1.0198103	1.1257270
0.9396056	0.9052812
0.8025028	1.1155434
0.9871663	0.8403778
1.0277489	1.1546925
1.0544023	1.0563449
1.0936016	1.0123199
1.0718855	1.1503986
0.9795733	1.1743204
0.8857418	0.0000000
0.8874253	0.0884405
1.0183186	0.1536772
1.1307558	0.2422428
0.9796623	0.4250244
1.0464025	0.6167187
1.1718236	0.5319655
0.8875617	0.7958170
0.9636065	0.7911924
1.1378906	0.8596906
1.1672158	0.9632447
0.9560136	0.9855720
1.0486807	0.9026040
1.0339759	0.9734684
0.9537595	0.9280299
1.0279719	0.9665852
0.8902828	1.0654246
0.9095392	0.9465756
1.0444153	0.9050541
0.9497654	1.0173067
0.9170855	0.9904726
0.8819207	0.0000000
1.0412419	0.1164844
0.9618245	0.1950707
1.1453357	0.2802359
0.9738693	0.3367871
1.0341714	0.4523402
0.8983744	0.6706772
1.1198703	0.7510728
0.8765886	0.7650912
0.9981904	0.9350886
1.0973474	1.0506416
1.1131388	1.1117337
0.9480901	1.0783732
1.0112713	1.1818245
0.9243044	0.9800376
0.8843148	0.9628589
0.8363749	1.0539499
0.9431430	1.0381000
0.9961481	1.0374423
1.0250793	1.0212160
1.2064556	0.9703078
1.1137412	0.0000000
1.2574839	0.0947338
1.0045420	0.2927667
1.1631498	0.2155247
1.0136267	0.3770024
0.9546418	0.5262722
1.1182300	0.5729170
1.0918693	0.6676336
1.0459529	0.6323347
0.9771246	0.8559690
