G1	G2	G3	G4	G5	G6	G9
8.4591720	1.7216391	9.0785975	2.3815619	3.0988544	0.4862323	1.5457373
8.6179056	1.5443810	9.4445431	2.1045128	3.4024339	0.6096792	1.7629911
8.6660913	1.8006930	8.4990292	2.3026698	3.2714929	0.4741134	1.4138372
8.6057201	1.7007816	9.1893940	2.0524275	3.5018590	0.4925703	1.5121005
8.7967701	2.0439784	8.2307205	2.0943937	3.3194979	0.4109234	1.3158543
9.0222220	1.9129336	8.0011350	2.1012248	3.3588674	0.4871136	1.8871663
8.4819035	1.5041624	8.4548062	2.2134885	3.1575413	0.4502268	1.6521340
8.9153476	1.6607206	9.3733251	2.0096206	3.2166668	0.4444732	1.7335898
9.5004872	1.7168376	8.7883629	1.7951273	3.4077793	0.5196572	1.5096185
8.9636330	1.8379732	8.8457323	2.2287086	3.4606956	0.4781041	1.4697858
8.9693001	1.7230446	8.9870593	2.1530018	3.3885562	0.5374926	1.5028600
9.5320160	1.9379611	8.5658308	2.0501444	3.3256784	0.5341985	1.5847502
8.9312818	1.7361353	9.1011617	2.1605271	3.1952940	0.5878247	1.5633111
8.8128362	1.6442564	9.1429800	2.2594863	3.1886471	0.5105664	1.6314613
9.8153314	1.7006601	8.8445888	2.1648868	3.0543529	0.5808639	1.5348278
9.1211362	1.8054402	8.1705359	1.8899331	3.5708299	0.4927820	1.5197171
9.4117142	1.7264176	8.6124170	2.7411742	3.2832495	0.4742404	1.6315747
8.5044119	1.8468759	8.9528727	2.2379219	3.1286284	0.5436147	1.5613119
8.5966386	1.7410808	8.3626295	2.2119631	3.4143509	0.3693513	1.6287317
8.6117686	2.0050442	8.6458567	2.1456110	3.2176859	0.5018301	1.2675481
8.7558919	1.7505173	8.2903715	2.1163510	3.3726283	0.4869241	1.7781300
9.1819389	1.8091576	8.6324133	2.2397415	3.2430292	0.6485912	1.7547898
8.9167555	1.8699039	8.7147409	2.1177125	3.2137915	0.7026028	1.5955329
9.4258278	1.7700817	8.1534143	2.2539104	3.5220294	0.4990204	1.5536464
9.5565518	1.5882151	9.1652577	1.8851146	3.1529938	0.6139611	1.3713428
9.3959122	1.6642119	8.9362641	2.1526253	3.3519389	0.5306474	1.7979743
9.2824839	1.6578700	8.5721712	2.0899629	3.4340867	0.6003985	1.4799140
8.4367005	1.8596768	8.7330069	2.0941971	3.3851978	0.4847301	1.4642318
8.5831654	1.9173924	8.5676012	2.0269159	3.3147095	0.4818934	1.5781070
8.8379184	1.6448692	8.7677494	2.2413945	3.6615853	0.4205118	1.4429769
9.1694725	1.7621179	8.7459930	2.0165978	3.6929599	0.4284619	1.5746779
9.5005255	1.8111486	8.3470407	2.1733515	3.0080519	0.3983804	1.3706641
9.1768600	1.7503996	8.5929863	2.1194395	3.0180936	0.6133946	1.4055916
8.6044669	1.5432206	8.7638284	1.9464252	3.5257019	0.5202086	1.5888199
8.4815931	1.6130466	8.7846326	2.0514453	3.5781823	0.5597943	1.5568648
8.8314190	1.8195584	9.4726100	2.2283899	3.4128565	0.4544873	1.6638811
8.9651649	1.7388635	8.3649642	2.0679061	3.3569929	0.5027784	1.5646350
8.7194399	1.5712150	8.5685479	1.9710015	3.2594568	0.5720745	1.2464307
8.6082100	1.5372780	8.2396697	2.2461930	3.4126096	0.5035439	1.5468969
8.7643179	1.7525484	8.6602340	1.9308807	3.5142800	0.5045437	1.5195301
8.9695303	1.7474491	8.8327389	2.4086732	3.1957432	0.4321193	1.4468315
8.7480301	1.9297426	9.2385396	2.2271241	3.5650409	0.6870598	1.6728525
9.2964033	1.8306640	9.7299690	2.0190193	3.4199971	0.4488555	1.7568180
8.7872840	1.7684862	9.1469947	1.8695566	3.4589719	0.5809783	1.5634407
8.9862290	1.6988258	9.1729560	2.1808054	3.1242023	0.6385298	1.5940473
8.9647197	1.6525636	8.2921744	2.1105209	2.9714619	0.3994820	1.5786516
8.6393823	1.9397818	8.7424637	1.9836763	3.3334860	0.5278274	1.4078567
8.1847882	1.7252736	8.4561499	2.3062469	2.9714800	0.6236937	1.5597755
9.3377735	1.6704914	9.0309008	1.7737713	3.3349667	0.5250729	1.5747030
8.7911210	1.5429694	8.6303260	2.3013640	3.0577997	0.6010697	1.4868770
8.4574903	1.7340569	8.8669702	2.1001428	3.0127010	0.4305055	1.5559968
9.1581028	1.6326575	9.1350833	2.1849115	3.3177023	0.6206320	1.6232192
9.0181332	1.8670088	9.3037375	2.0664872	3.5926606	0.6363943	1.3832946
8.3416428	1.6582681	9.1697654	1.9112090	3.2717426	0.4538547	1.6856705
8.6468726	1.6926233	8.2893122	2.0888834	3.3195165	0.4358799	1.4944336
9.0185172	1.7844730	8.8579832	2.0032634	3.2933184	0.3948811	1.6035840
8.9165441	1.9273380	8.9889065	2.0389497	3.5125056	0.5322814	1.3960111
9.2226972	1.9550812	9.2782309	1.9983442	3.4465439	0.5086359	1.3892218
8.6973840	1.8412336	8.5641510	2.1302731	3.2494164	0.5053068	1.5932411
9.4935355	1.8693408	8.2008673	2.0493137	3.4215295	0.4981598	1.4534600
8.6370130	1.7719731	9.4063796	1.9179065	3.4280576	0.5166961	1.3921801
8.8825602	1.8700231	8.6258040	2.4163288	3.4560159	0.5549380	1.5749285
9.6222269	1.7630806	8.5545180	2.0908210	3.2301954	0.6110383	1.5202118
8.0325487	1.6654498	8.3703620	2.0601745	3.6420157	0.4995604	1.5757970
9.0815306	1.6519298	9.1164765	1.9507673	3.2366438	0.5822116	1.5086748
8.4388606	1.7064867	8.5676481	2.0055891	3.6290297	0.4720685	1.3839633
9.4026745	1.7016394	8.9906458	2.0180253	3.1720924	0.4916452	1.4572154
8.9117826	1.6042209	9.0853614	1.9075582	2.7374582	0.4905604	1.5698715
8.5501584	1.6976844	8.7905105	2.4145651	3.2083645	0.5501216	1.4519095
8.3660159	1.6304298	8.7188582	2.5737577	3.1500052	0.4954839	1.4654447
8.6471075	1.7696387	8.6631798	2.1202844	3.2857979	0.5976699	1.4638850
9.0646472	1.8256196	9.1926093	2.2197931	3.2295493	0.5631930	1.4557732
8.6045209	1.6842274	8.6425893	2.2416067	2.9953428	0.4721291	1.4472622
8.4205568	1.5827988	8.6511602	2.0446667	2.9752282	0.5416236	1.4073936
8.3606400	1.8669632	8.4831712	2.3933654	3.0570532	0.4339981	1.4239383
8.2871338	1.9020818	9.2854761	2.2484398	3.4268362	0.4692058	1.5213193
9.1191048	1.7484303	8.8117045	1.9905556	3.5229293	0.4264278	1.5648617
8.7234934	1.8427049	8.8220204	2.1081114	3.1576268	0.4829899	1.6600664
8.9498664	1.6997629	9.0084795	2.1704466	3.1472711	0.5603308	1.4103223
8.6272152	1.8884308	8.3389715	1.9676615	3.2220251	0.5252762	1.4900665
8.0612408	1.9994167	9.2060379	2.1676425	3.3413795	0.5031746	1.7225094
8.2860640	1.9265514	9.3575482	2.2455881	3.4704589	0.5570237	1.4802400
9.1951834	1.6294397	8.9291015	1.8710377	3.4346816	0.5749574	1.4454839
9.3941466	1.7852099	8.6309024	2.3068894	3.4162916	0.5309557	1.8637806
8.2037695	1.8243632	8.5419506	2.3898299	3.2684072	0.5667387	1.6795807
9.0084721	1.6366275	8.5478380	2.1961628	3.6658198	0.3529141	1.6303729
8.6618882	1.9247455	9.3648649	2.0304467	3.0953733	0.6179484	1.5167698
8.5821354	2.0015691	8.9313022	2.0128412	3.8583123	0.5726155	1.7220610
8.5761411	1.7865823	9.1565712	2.0791502	3.3241990	0.5147063	1.7560338
8.6166751	1.9914442	8.0643905	2.1016407	3.3329652	0.5595015	1.5923644
8.8544044	1.9761282	8.2416023	2.0715777	3.5804599	0.5374062	1.4480008
9.3170951	1.7553634	8.8487485	2.1246952	3.2347101	0.4781040	1.5129470
8.9648428	1.6840116	8.6340954	2.3192889	3.4273664	0.5834843	1.5948079
9.2841098	1.8389361	9.1056403	2.1216438	3.6508809	0.4806424	1.3571918
8.6523044	1.6356506	8.6514114	2.1064693	3.2937687	0.5864341	1.4423540
8.9568358	1.7401402	8.9404157	2.1000060	3.8558404	0.4817520	1.4686875
9.4347445	1.8409521	8.6604000	2.1147469	3.0554257	0.4547165	1.5158169
8.5861060	1.8523789	8.3449933	2.0525640	3.2857355	0.5905837	1.3458536
8.7697666	1.8596605	8.6347199	2.0015021	3.2191959	0.4169716	1.4581122
8.6238065	1.9519289	9.4050642	2.1634082	3.3740435	0.5247278	1.3900087
8.6983743	1.8790444	8.1697987	2.0251633	3.1683749	0.5122719	1.4927814
8.6658382	1.8023116	9.3227513	2.0640718	3.2758799	0.6509175	1.4179635
9.5855005	1.8282279	8.7215133	2.1189180	3.2988929	0.5507530	1.5226586
8.8372625	1.5696717	8.3994281	2.1943923	3.2888805	0.4634153	1.5473171
9.5839963	1.8592754	8.8213092	2.1227716	3.0813228	0.5352885	1.4901515
8.8811905	1.6913396	8.3170422	1.9614406	3.0413018	0.4805406	1.2766717
8.5313856	1.8877003	8.7130822	2.1148011	3.0853720	0.4950810	1.6674046
9.2966664	1.6175028	8.6045636	1.9900270	3.2698291	0.5697007	1.5103055
8.5537797	1.7767039	8.4680447	2.1144030	3.4407950	0.5802236	1.6598705
9.7074614	1.9998339	8.0715211	2.0878071	3.0434642	0.5627113	1.5951968
9.1256506	1.7027124	8.6214525	2.2048386	3.5935974	0.5960548	1.6210358
8.7975221	1.7546934	8.8634942	2.1200053	3.0954200	0.5947734	1.5503325
8.3940048	1.9607812	9.0051936	1.9860530	2.9557228	0.4319436	1.5735711
8.4882805	1.6011131	8.9462929	2.2312637	3.4434841	0.4770337	1.5716931
8.8199398	1.7921595	8.9917265	2.4229782	3.5994749	0.6295883	1.6549315
9.1529177	1.5561058	8.5165773	2.2171975	3.3429438	0.6585580	1.6643552
8.7349727	1.4722958	9.2061234	2.2231053	3.2529604	0.5189629	1.4557739
8.3868341	1.8458438	9.4670536	2.0245872	3.3898143	0.6452634	1.5845109
9.5727488	1.7084341	8.6716776	2.0049969	3.4175324	0.4813891	1.7976620
8.4064153	1.7585765	8.7681332	2.3386178	3.2476488	0.5679355	1.5741445
8.8882188	1.5265246	8.1440092	2.3823400	3.3317975	0.4250635	1.5304030
8.3438098	1.7320951	9.3325612	2.0046815	3.1861942	0.4828352	1.9272235
8.7546835	1.8167894	8.9222928	1.8936766	3.2517287	0.5256376	1.7895534
8.9120248	1.7771602	9.3589138	2.0512146	3.2134921	0.5384123	1.5562929
9.2074964	1.8614894	8.8609562	2.1347292	3.4055333	0.5111551	1.4733999
8.9745533	1.7309969	8.6437309	2.1166909	3.3613085	0.4518135	1.4903208
8.6861220	1.6564072	7.9502883	1.9000260	3.5155410	0.3944302	1.7848585
8.7608160	1.6638011	8.1520845	2.1376147	3.5524117	0.5463127	1.4615008
9.0379465	1.9729302	8.0388994	2.4149014	3.6484172	0.5319578	1.4922768
8.8600735	1.5377715	9.1674160	2.1148577	3.1455513	0.4343045	1.5527703
8.3948197	1.6187070	8.9231775	2.1442707	3.5240325	0.4857351	1.4679735
8.7650728	1.7182970	9.1689494	2.1667607	3.2358704	0.5129777	1.5966771
9.0299768	1.8303946	8.7889900	1.9084344	3.3925274	0.5081241	1.5735207
8.9175780	1.7377428	9.0406678	2.1320794	3.1968081	0.5394650	1.7125297
8.2557842	1.8830482	8.6445274	1.8577303	3.1806766	0.5640489	1.4332957
8.8098712	1.6142071	8.4215351	2.3133156	3.2429085	0.4689966	1.6882548
9.5096284	1.9527923	8.3159392	2.0851134	3.4274790	0.4606780	1.6385108
8.3699108	1.6276407	8.7741722	2.0173705	3.4564584	0.5020787	1.3583430
9.1753344	1.6320909	7.5857382	2.1965470	3.0530378	0.5584232	1.6330203
9.2978776	1.6489763	9.1214728	2.1494108	3.0703630	0.6416227	1.6479997
9.1902923	1.4246595	8.2033385	1.8285352	3.2216642	0.4658224	1.7092523
9.0712493	1.7077485	8.4256633	2.0303686	3.0636697	0.5685854	1.5827028
9.2058741	1.9555184	8.3730134	1.9389883	3.3782487	0.4427393	1.7278909
8.7746223	1.6722236	8.5842972	2.3484592	3.3234541	0.6112492	1.6338862
8.3732450	1.8125495	8.2325209	2.2936510	3.1373968	0.5081041	1.4166634
